Start,-,End,MEALS2GO,MKT DINEIN
02:31 PM,-,02:45 PM,1,1
02:46 PM,-,03:00 PM,0,3
03:01 PM,-,03:15 PM,0,2
03:16 PM,-,03:30 PM,1,2
03:31 PM,-,03:45 PM,4,5
03:46 PM,-,04:00 PM,1,5
04:01 PM,-,04:15 PM,5,7
04:16 PM,-,04:30 PM,2,1
04:31 PM,-,04:45 PM,2,3
04:46 PM,-,05:00 PM,0,41
05:01 PM,-,05:15 PM,4,177
05:16 PM,-,05:30 PM,4,118
05:31 PM,-,05:45 PM,2,121
05:46 PM,-,06:00 PM,5,68
06:01 PM,-,06:15 PM,4,194
06:16 PM,-,06:30 PM,6,74
06:31 PM,-,06:45 PM,3,51
06:46 PM,-,07:00 PM,2,62
07:01 PM,-,07:15 PM,3,56
07:16 PM,-,07:30 PM,5,106
07:31 PM,-,07:45 PM,9,19
07:46 PM,-,08:00 PM,4,8
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
09:46 PM,-,10:00 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
11:16 PM,-,11:30 PM,0,0
11:31 PM,-,11:45 PM,0,0
11:46 PM,-,12:00 AM,0,0
Day Totals:,0,138,"2,803",0
"Wednesday, 01/21/2015",,,,
06:46 AM,-,07:00 AM,0,8
07:01 AM,-,07:15 AM,0,23
07:16 AM,-,07:30 AM,0,50
07:31 AM,-,07:45 AM,3,114
07:46 AM,-,08:00 AM,2,36
08:01 AM,-,08:15 AM,1,35
08:16 AM,-,08:30 AM,1,63
08:31 AM,-,08:45 AM,2,73
08:46 AM,-,09:00 AM,0,49
09:01 AM,-,09:15 AM,0,29
09:16 AM,-,09:30 AM,0,24
09:31 AM,-,09:45 AM,2,54
09:46 AM,-,10:00 AM,3,39
10:01 AM,-,10:15 AM,2,7
10:16 AM,-,10:30 AM,1,7
10:31 AM,-,10:45 AM,3,6
10:46 AM,-,11:00 AM,9,46
11:01 AM,-,11:15 AM,8,93
11:16 AM,-,11:30 AM,7,36
11:31 AM,-,11:45 AM,8,90
11:46 AM,-,12:00 PM,13,278
12:01 PM,-,12:15 PM,9,281
12:16 PM,-,12:30 PM,4,142
12:31 PM,-,12:45 PM,11,60
12:46 PM,-,01:00 PM,5,43
01:01 PM,-,01:15 PM,3,38
01:16 PM,-,01:30 PM,2,12
01:31 PM,-,01:45 PM,1,6
01:46 PM,-,02:00 PM,1,6
02:01 PM,-,02:15 PM,3,8
02:16 PM,-,02:30 PM,1,5
02:31 PM,-,02:45 PM,0,1
02:46 PM,-,03:00 PM,0,2
03:01 PM,-,03:15 PM,0,0
03:16 PM,-,03:30 PM,0,3
03:31 PM,-,03:45 PM,1,2
03:46 PM,-,04:00 PM,2,1
04:01 PM,-,04:15 PM,5,2
04:16 PM,-,04:30 PM,2,2
04:31 PM,-,04:45 PM,4,5
04:46 PM,-,05:00 PM,3,28
05:01 PM,-,05:15 PM,6,124
05:16 PM,-,05:30 PM,4,93
05:31 PM,-,05:45 PM,6,101
05:46 PM,-,06:00 PM,2,106
06:01 PM,-,06:15 PM,12,136
06:16 PM,-,06:30 PM,5,120
06:31 PM,-,06:45 PM,5,75
06:46 PM,-,07:00 PM,6,75
07:01 PM,-,07:15 PM,6,71
