Start,-,End,MEALS2GO,MKT DINEIN
"Sunday, 08/17/2014",,,,
7:46 AM,-,8:00 AM,0,4
8:01 AM,-,8:15 AM,0,77
8:16 AM,-,8:30 AM,0,25
8:31 AM,-,8:45 AM,0,5
8:46 AM,-,9:00 AM,0,18
9:01 AM,-,9:15 AM,0,17
11:46 AM,-,12:00 PM,2,0
12:01 PM,-,12:15 PM,0,101
12:16 PM,-,12:30 PM,0,30
12:31 PM,-,12:45 PM,0,2
12:46 PM,-,1:00 PM,0,14
6:31 PM,-,6:45 PM,0,137
6:46 PM,-,7:00 PM,0,63
7:01 PM,-,7:15 PM,0,28
7:16 PM,-,7:30 PM,0,46
Day Totals:,0,2,567,0
"Monday, 08/18/2014",,,,
8:01 AM,-,8:15 AM,0,79
8:16 AM,-,8:30 AM,2,51
8:31 AM,-,8:45 AM,0,30
8:46 AM,-,9:00 AM,0,33
9:01 AM,-,9:15 AM,0,12
9:16 AM,-,9:30 AM,0,15
11:46 AM,-,12:00 PM,0,22
12:01 PM,-,12:15 PM,0,173
12:16 PM,-,12:30 PM,0,75
12:31 PM,-,12:45 PM,0,54
12:46 PM,-,1:00 PM,0,10
6:16 PM,-,6:30 PM,3,7
6:31 PM,-,6:45 PM,0,183
6:46 PM,-,7:00 PM,0,79
7:01 PM,-,7:15 PM,0,51
7:16 PM,-,7:30 PM,0,20
7:31 PM,-,7:45 PM,0,19
Day Totals:,0,5,913,0
"Tuesday, 08/19/2014",,,,
7:31 AM,-,7:45 AM,0,5
7:46 AM,-,8:00 AM,0,2
8:01 AM,-,8:15 AM,0,183
8:16 AM,-,8:30 AM,0,81
8:31 AM,-,8:45 AM,0,52
8:46 AM,-,9:00 AM,0,42
9:01 AM,-,9:15 AM,0,19
11:46 AM,-,12:00 PM,0,14
12:01 PM,-,12:15 PM,0,257
12:16 PM,-,12:30 PM,0,126
12:31 PM,-,12:45 PM,0,25
12:46 PM,-,1:00 PM,0,77
6:31 PM,-,6:45 PM,0,202
6:46 PM,-,7:00 PM,0,51
7:01 PM,-,7:15 PM,0,55
7:16 PM,-,7:30 PM,0,68
Day Totals:,0,0,"1,259",0
"Wednesday, 08/20/2014",,,,
7:46 AM,-,8:00 AM,0,1
8:01 AM,-,8:15 AM,0,176
8:16 AM,-,8:30 AM,0,83
8:31 AM,-,8:45 AM,0,34
8:46 AM,-,9:00 AM,1,38
9:01 AM,-,9:15 AM,0,9
11:46 AM,-,12:00 PM,1,15
12:01 PM,-,12:15 PM,0,238
12:16 PM,-,12:30 PM,0,77
12:31 PM,-,12:45 PM,0,70
12:46 PM,-,1:00 PM,0,2
6:16 PM,-,6:30 PM,0,52
6:31 PM,-,6:45 PM,0,184
6:46 PM,-,7:00 PM,0,80
7:01 PM,-,7:15 PM,0,40
7:16 PM,-,7:30 PM,0,39
7:31 PM,-,7:45 PM,0,1
Day Totals:,0,2,"1,139",0
"Thursday, 08/21/2014",,,,
7:46 AM,-,8:00 AM,0,9
8:01 AM,-,8:15 AM,0,159
8:16 AM,-,8:30 AM,0,61
8:31 AM,-,8:45 AM,0,81
8:46 AM,-,9:00 AM,0,32
9:01 AM,-,9:15 AM,0,6
11:46 AM,-,12:00 PM,0,36
12:01 PM,-,12:15 PM,0,204
12:16 PM,-,12:30 PM,0,176
12:31 PM,-,12:45 PM,0,78
12:46 PM,-,1:00 PM,0,2
6:31 PM,-,6:45 PM,0,203
6:46 PM,-,7:00 PM,0,75
7:01 PM,-,7:15 PM,0,97
7:16 PM,-,7:30 PM,0,51
Day Totals:,0,0,"1,270",0
"Friday, 08/22/2014",,,,
8:01 AM,-,8:15 AM,0,97
8:16 AM,-,8:30 AM,0,64
8:31 AM,-,8:45 AM,0,63
8:46 AM,-,9:00 AM,0,38
9:01 AM,-,9:15 AM,0,22
9:16 AM,-,9:30 AM,0,5
9:31 AM,-,9:45 AM,0,0
9:46 AM,-,10:00 AM,0,0
10:31 AM,-,10:45 AM,0,0
10:46 AM,-,11:00 AM,0,0
11:01 AM,-,11:15 AM,0,0
11:16 AM,-,11:30 AM,0,0
11:31 AM,-,11:45 AM,0,0
11:46 AM,-,12:00 PM,0,37
12:01 PM,-,12:15 PM,0,274
12:16 PM,-,12:30 PM,0,72
12:31 PM,-,12:45 PM,1,76
12:46 PM,-,1:00 PM,0,14
1:01 PM,-,1:15 PM,0,52
1:16 PM,-,1:30 PM,0,8
2:16 PM,-,2:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
3:46 PM,-,4:00 PM,0,0
4:01 PM,-,4:15 PM,0,0
4:16 PM,-,4:30 PM,0,0
4:46 PM,-,5:00 PM,0,0
5:31 PM,-,5:45 PM,0,40
5:46 PM,-,6:00 PM,0,47
6:01 PM,-,6:15 PM,0,69
6:16 PM,-,6:30 PM,0,106
6:31 PM,-,6:45 PM,0,112
6:46 PM,-,7:00 PM,0,136
7:01 PM,-,7:15 PM,0,93
7:16 PM,-,7:30 PM,0,38
8:01 PM,-,8:15 PM,0,4
8:16 PM,-,8:30 PM,0,43
Day Totals:,0,1,"1,510",0
"Saturday, 08/23/2014",,,,
7:46 AM,-,8:00 AM,0,1
8:01 AM,-,8:15 AM,0,65
8:16 AM,-,8:30 AM,0,64
8:31 AM,-,8:45 AM,0,138
8:46 AM,-,9:00 AM,0,100
9:01 AM,-,9:15 AM,0,51
9:16 AM,-,9:30 AM,0,19
9:31 AM,-,9:45 AM,0,0
9:46 AM,-,10:00 AM,0,40
10:01 AM,-,10:15 AM,0,27
10:16 AM,-,10:30 AM,0,45
10:46 AM,-,11:00 AM,0,37
11:01 AM,-,11:15 AM,0,77
11:16 AM,-,11:30 AM,0,84
11:31 AM,-,11:45 AM,0,131
11:46 AM,-,12:00 PM,0,103
12:01 PM,-,12:15 PM,0,77
12:16 PM,-,12:30 PM,0,79
12:31 PM,-,12:45 PM,0,60
12:46 PM,-,1:00 PM,0,18
1:01 PM,-,1:15 PM,0,71
1:16 PM,-,1:30 PM,0,106
1:31 PM,-,1:45 PM,0,1
1:46 PM,-,2:00 PM,0,13
2:01 PM,-,2:15 PM,0,52
2:16 PM,-,2:30 PM,0,70
3:01 PM,-,3:15 PM,0,0
3:16 PM,-,3:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
3:46 PM,-,4:00 PM,0,0
5:01 PM,-,5:15 PM,0,0
5:31 PM,-,5:45 PM,0,232
5:46 PM,-,6:00 PM,0,26
6:01 PM,-,6:15 PM,0,61
6:16 PM,-,6:30 PM,0,79
6:31 PM,-,6:45 PM,0,206
6:46 PM,-,7:00 PM,0,105
7:01 PM,-,7:15 PM,0,9
7:16 PM,-,7:30 PM,0,3
Day Totals:,0,0,"2,250",0
"Sunday, 08/24/2014",,,,
8:01 AM,-,8:15 AM,0,61
8:16 AM,-,8:30 AM,0,29
8:31 AM,-,8:45 AM,0,26
8:46 AM,-,9:00 AM,0,33
9:01 AM,-,9:15 AM,0,26
9:16 AM,-,9:30 AM,0,9
11:16 AM,-,11:30 AM,0,16
11:31 AM,-,11:45 AM,0,194
11:46 AM,-,12:00 PM,0,142
12:01 PM,-,12:15 PM,0,130
12:16 PM,-,12:30 PM,0,94
12:31 PM,-,12:45 PM,0,44
12:46 PM,-,1:00 PM,0,8
1:01 PM,-,1:15 PM,0,6
1:16 PM,-,1:30 PM,0,5
1:31 PM,-,1:45 PM,0,0
1:46 PM,-,2:00 PM,0,0
2:16 PM,-,2:30 PM,0,0
2:46 PM,-,3:00 PM,0,0
3:01 PM,-,3:15 PM,0,0
3:16 PM,-,3:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
3:46 PM,-,4:00 PM,0,0
4:01 PM,-,4:15 PM,0,0
4:16 PM,-,4:30 PM,0,0
4:31 PM,-,4:45 PM,0,0
4:46 PM,-,5:00 PM,0,0
5:01 PM,-,5:15 PM,0,0
5:16 PM,-,5:30 PM,0,0
5:31 PM,-,5:45 PM,0,160
5:46 PM,-,6:00 PM,0,83
6:01 PM,-,6:15 PM,0,90
6:16 PM,-,6:30 PM,0,138
6:31 PM,-,6:45 PM,0,136
6:46 PM,-,7:00 PM,0,61
7:01 PM,-,7:15 PM,0,58
7:16 PM,-,7:30 PM,0,29
Day Totals:,0,0,"1,578",0
"Monday, 08/25/2014",,,,
7:46 AM,-,8:00 AM,0,12
8:01 AM,-,8:15 AM,0,45
8:16 AM,-,8:30 AM,0,46
8:31 AM,-,8:45 AM,0,42
8:46 AM,-,9:00 AM,0,36
9:01 AM,-,9:15 AM,0,34
9:16 AM,-,9:30 AM,0,4
9:31 AM,-,9:45 AM,0,0
9:46 AM,-,10:00 AM,0,1
10:01 AM,-,10:15 AM,0,1
10:16 AM,-,10:30 AM,0,0
10:31 AM,-,10:45 AM,0,0
11:01 AM,-,11:15 AM,0,0
11:16 AM,-,11:30 AM,0,0
11:31 AM,-,11:45 AM,0,146
11:46 AM,-,12:00 PM,0,98
12:01 PM,-,12:15 PM,0,187
12:16 PM,-,12:30 PM,0,103
12:31 PM,-,12:45 PM,0,87
12:46 PM,-,1:00 PM,0,100
1:01 PM,-,1:15 PM,0,22
1:16 PM,-,1:30 PM,0,9
1:31 PM,-,1:45 PM,0,0
1:46 PM,-,2:00 PM,0,0
2:01 PM,-,2:15 PM,0,0
2:31 PM,-,2:45 PM,0,1
3:01 PM,-,3:15 PM,0,0
3:16 PM,-,3:30 PM,1,2
3:46 PM,-,4:00 PM,0,0
4:01 PM,-,4:15 PM,0,0
4:31 PM,-,4:45 PM,0,0
4:46 PM,-,5:00 PM,0,0
5:01 PM,-,5:15 PM,0,0
5:31 PM,-,5:45 PM,0,111
5:46 PM,-,6:00 PM,0,89
6:01 PM,-,6:15 PM,0,147
6:16 PM,-,6:30 PM,0,161
6:31 PM,-,6:45 PM,0,116
6:46 PM,-,7:00 PM,0,71
7:01 PM,-,7:15 PM,0,48
7:16 PM,-,7:30 PM,0,62
7:31 PM,-,7:45 PM,0,0
7:46 PM,-,8:00 PM,0,0
8:01 PM,-,8:15 PM,0,0
8:16 PM,-,8:30 PM,0,0
8:31 PM,-,8:45 PM,0,0
9:31 PM,-,9:45 PM,0,0
9:46 PM,-,10:00 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
Day Totals:,0,1,"1,781",0
"Tuesday, 08/26/2014",,,,
7:46 AM,-,8:00 AM,0,0
8:01 AM,-,8:15 AM,0,57
8:16 AM,-,8:30 AM,0,42
8:31 AM,-,8:45 AM,0,74
8:46 AM,-,9:00 AM,0,62
9:01 AM,-,9:15 AM,0,57
9:16 AM,-,9:30 AM,0,0
9:31 AM,-,9:45 AM,0,0
9:46 AM,-,10:00 AM,0,0
10:01 AM,-,10:15 AM,0,0
10:16 AM,-,10:30 AM,0,0
10:46 AM,-,11:00 AM,0,0
11:01 AM,-,11:15 AM,0,0
11:16 AM,-,11:30 AM,0,0
11:31 AM,-,11:45 AM,0,136
11:46 AM,-,12:00 PM,0,177
12:01 PM,-,12:15 PM,0,176
12:16 PM,-,12:30 PM,0,136
12:31 PM,-,12:45 PM,0,125
12:46 PM,-,1:00 PM,0,41
1:01 PM,-,1:15 PM,0,17
1:16 PM,-,1:30 PM,0,11
1:31 PM,-,1:45 PM,0,0
1:46 PM,-,2:00 PM,0,0
2:01 PM,-,2:15 PM,0,0
2:16 PM,-,2:30 PM,0,0
2:46 PM,-,3:00 PM,0,0
3:16 PM,-,3:30 PM,0,0
3:31 PM,-,3:45 PM,0,0
3:46 PM,-,4:00 PM,0,0
4:16 PM,-,4:30 PM,0,0
4:46 PM,-,5:00 PM,0,0
5:16 PM,-,5:30 PM,0,14
5:31 PM,-,5:45 PM,0,108
