Start,-,End,MEALS2GO,MKT DINEIN
"Sunday, 01/24/2016",,,,
01:01 PM,-,01:15 PM,0,0
01:16 PM,-,01:30 PM,0,0
01:31 PM,-,01:45 PM,0,0
01:46 PM,-,02:00 PM,0,0
02:01 PM,-,02:15 PM,0,0
02:16 PM,-,02:30 PM,0,0
02:31 PM,-,02:45 PM,0,0
03:01 PM,-,03:15 PM,0,0
03:16 PM,-,03:30 PM,0,0
03:31 PM,-,03:45 PM,0,0
03:46 PM,-,04:00 PM,0,0
04:01 PM,-,04:15 PM,0,0
04:16 PM,-,04:30 PM,0,0
04:31 PM,-,04:45 PM,0,0
04:46 PM,-,05:00 PM,0,2
05:01 PM,-,05:15 PM,0,93
05:16 PM,-,05:30 PM,0,63
05:31 PM,-,05:45 PM,0,165
05:46 PM,-,06:00 PM,0,105
06:01 PM,-,06:15 PM,0,134
06:16 PM,-,06:30 PM,0,122
06:31 PM,-,06:45 PM,0,64
06:46 PM,-,07:00 PM,0,32
07:01 PM,-,07:15 PM,0,0
07:16 PM,-,07:30 PM,0,0
07:31 PM,-,07:45 PM,0,0
07:46 PM,-,08:00 PM,0,0
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
08:46 PM,-,09:00 PM,0,0
09:01 PM,-,09:15 PM,0,0
09:16 PM,-,09:30 PM,0,0
09:31 PM,-,09:45 PM,0,0
10:01 PM,-,10:15 PM,0,0
10:16 PM,-,10:30 PM,0,0
10:31 PM,-,10:45 PM,0,0
10:46 PM,-,11:00 PM,0,0
11:01 PM,-,11:15 PM,0,0
Day Totals:,0,0,780,0
"Monday, 01/25/2016",,,,
07:01 AM,-,07:15 AM,0,31
07:16 AM,-,07:30 AM,3,78
07:31 AM,-,07:45 AM,2,82
07:46 AM,-,08:00 AM,1,46
08:01 AM,-,08:15 AM,0,55
08:16 AM,-,08:30 AM,1,65
08:31 AM,-,08:45 AM,0,56
08:46 AM,-,09:00 AM,1,48
09:01 AM,-,09:15 AM,0,16
09:16 AM,-,09:30 AM,0,18
09:31 AM,-,09:45 AM,2,33
09:46 AM,-,10:00 AM,1,22
10:01 AM,-,10:15 AM,0,4
10:16 AM,-,10:30 AM,2,3
10:31 AM,-,10:45 AM,0,6
10:46 AM,-,11:00 AM,2,76
11:01 AM,-,11:15 AM,5,62
11:16 AM,-,11:30 AM,7,106
11:31 AM,-,11:45 AM,5,91
11:46 AM,-,12:00 PM,5,269
12:01 PM,-,12:15 PM,9,231
12:16 PM,-,12:30 PM,2,92
12:31 PM,-,12:45 PM,5,56
12:46 PM,-,01:00 PM,1,20
01:01 PM,-,01:15 PM,3,50
01:16 PM,-,01:30 PM,2,18
01:31 PM,-,01:45 PM,0,8
01:46 PM,-,02:00 PM,1,2
02:01 PM,-,02:15 PM,1,1
02:16 PM,-,02:30 PM,1,7
02:31 PM,-,02:45 PM,0,5
02:46 PM,-,03:00 PM,2,1
03:01 PM,-,03:15 PM,1,0
03:16 PM,-,03:30 PM,1,3
03:31 PM,-,03:45 PM,4,1
03:46 PM,-,04:00 PM,2,1
04:01 PM,-,04:15 PM,3,0
04:16 PM,-,04:30 PM,0,1
04:31 PM,-,04:45 PM,0,3
04:46 PM,-,05:00 PM,3,14
05:01 PM,-,05:15 PM,8,34
05:16 PM,-,05:30 PM,4,64
05:31 PM,-,05:45 PM,4,69
05:46 PM,-,06:00 PM,3,82
06:01 PM,-,06:15 PM,8,285
06:16 PM,-,06:30 PM,4,140
06:31 PM,-,06:45 PM,5,95
06:46 PM,-,07:00 PM,4,67
07:01 PM,-,07:15 PM,3,47
07:16 PM,-,07:30 PM,3,40
07:31 PM,-,07:45 PM,3,10
07:46 PM,-,08:00 PM,3,9
08:01 PM,-,08:15 PM,0,0
08:16 PM,-,08:30 PM,0,0
08:31 PM,-,08:45 PM,0,0
