Week,Day,Date,TimeIn,Dash,TimeOut,DineOut,DineIn,
-1,0,08/16/15,8:01AM,-,8:15AM,0,22,
-1,0,08/16/15,8:16AM,-,8:30AM,0,14,
-1,0,08/16/15,8:31AM,-,8:45AM,0,16,
-1,0,08/16/15,8:46AM,-,9:00AM,0,1,
-1,0,08/16/15,9:01AM,-,9:15AM,0,5,
-1,0,08/16/15,11:46AM,-,12:00PM,0,11,
-1,0,08/16/15,12:01PM,-,12:15PM,0,29,
-1,0,08/16/15,12:16PM,-,12:30PM,0,29,
-1,0,08/16/15,12:31PM,-,12:45PM,0,10,
-1,0,08/16/15,12:46PM,-,1:00PM,0,19,
-1,0,08/16/15,6:16PM,-,6:30PM,0,4,
-1,0,08/16/15,6:31PM,-,6:45PM,0,59,
-1,0,08/16/15,6:46PM,-,7:00PM,0,34,
-1,0,08/16/15,7:01PM,-,7:15PM,0,4,
-1,0,08/16/15,7:16PM,-,7:30PM,0,3,
-1,0,08/16/15,7:31PM,-,7:45PM,0,26,
-1,0,08/16/15,0,DayTotals:,0,0,286,0
-1,1,08/17/15,7:46AM,-,8:00AM,0,5,
-1,1,08/17/15,8:01AM,-,8:15AM,0,30,
-1,1,08/17/15,8:16AM,-,8:30AM,0,18,
-1,1,08/17/15,8:31AM,-,8:45AM,0,6,
-1,1,08/17/15,8:46AM,-,9:00AM,0,3,
-1,1,08/17/15,9:01AM,-,9:15AM,0,18,
-1,1,08/17/15,10:01AM,-,10:15AM,0,2,
-1,1,08/17/15,10:31AM,-,10:45AM,0,1,
-1,1,08/17/15,11:01AM,-,11:15AM,0,2,
-1,1,08/17/15,11:16AM,-,11:30AM,0,1,
-1,1,08/17/15,11:46AM,-,12:00PM,0,3,
-1,1,08/17/15,12:01PM,-,12:15PM,0,102,
-1,1,08/17/15,12:16PM,-,12:30PM,0,71,
-1,1,08/17/15,12:31PM,-,12:45PM,0,51,
-1,1,08/17/15,12:46PM,-,1:00PM,0,2,
-1,1,08/17/15,2:46PM,-,3:00PM,0,2,
-1,1,08/17/15,6:31PM,-,6:45PM,0,160,
