Week,Day,Date,TimeIn,Dash,TimeOut,DineOut,DineIn,
1, Sunday, 01/18/2015,1:01 PM,-,1:15 PM,0,0,
1, Sunday, 01/18/2015,1:16 PM,-,1:30 PM,0,0,
1, Sunday, 01/18/2015,1:31 PM,-,1:45 PM,0,0,
1, Sunday, 01/18/2015,2:01 PM,-,2:15 PM,0,0,
1, Sunday, 01/18/2015,2:16 PM,-,2:30 PM,0,0,
1, Sunday, 01/18/2015,2:31 PM,-,2:45 PM,0,0,
1, Sunday, 01/18/2015,2:46 PM,-,3:00 PM,0,0,
1, Sunday, 01/18/2015,3:01 PM,-,3:15 PM,0,0,
1, Sunday, 01/18/2015,3:16 PM,-,3:30 PM,0,0,
1, Sunday, 01/18/2015,3:31 PM,-,3:45 PM,0,0,
1, Sunday, 01/18/2015,3:46 PM,-,4:00 PM,0,0,
1, Sunday, 01/18/2015,4:01 PM,-,4:15 PM,0,0,
1, Sunday, 01/18/2015,4:16 PM,-,4:30 PM,0,0,
1, Sunday, 01/18/2015,4:46 PM,-,5:00 PM,0,2,
1, Sunday, 01/18/2015,5:01 PM,-,5:15 PM,0,57,
1, Sunday, 01/18/2015,5:16 PM,-,5:30 PM,0,62,
1, Sunday, 01/18/2015,5:31 PM,-,5:45 PM,0,105,
1, Sunday, 01/18/2015,5:46 PM,-,6:00 PM,0,113,
1, Sunday, 01/18/2015,6:01 PM,-,6:15 PM,0,161,
1, Sunday, 01/18/2015,6:16 PM,-,6:30 PM,0,111,
1, Sunday, 01/18/2015,6:31 PM,-,6:45 PM,0,105,
1, Sunday, 01/18/2015,6:46 PM,-,7:00 PM,0,44,
1, Sunday, 01/18/2015,7:01 PM,-,7:15 PM,0,0,
1, Sunday, 01/18/2015,7:16 PM,-,7:30 PM,0,0,
1, Sunday, 01/18/2015,7:31 PM,-,7:45 PM,0,0,
1, Sunday, 01/18/2015,7:46 PM,-,8:00 PM,0,0,
1, Sunday, 01/18/2015,8:01 PM,-,8:15 PM,0,0,
1, Sunday, 01/18/2015,8:16 PM,-,8:30 PM,0,0,
1, Sunday, 01/18/2015,8:31 PM,-,8:45 PM,0,0,
1, Sunday, 01/18/2015,9:16 PM,-,9:30 PM,0,0,
1, Sunday, 01/18/2015,9:31 PM,-,9:45 PM,0,0,
1, Sunday, 01/18/2015,9:46 PM,-,10:00 PM,0,0,
1, Sunday, 01/18/2015,10:01 PM,-,10:15 PM,0,0,
1, Sunday, 01/18/2015,10:16 PM,-,10:30 PM,0,0,
1, Sunday, 01/18/2015,10:31 PM,-,10:45 PM,0,0,
1, Sunday, 01/18/2015,10:46 PM,-,11:00 PM,0,0,
1, Sunday, 01/18/2015,11:16 PM,-,11:30 PM,0,0,
1, Sunday, 01/18/2015,11:46 PM,-,12:00 AM,0,0,
1, Sunday, 01/18/2015,0, Day Totals:,0,0,760,0
1, Monday, 01/19/2015,7:01 AM,-,7:15 AM,1,12,
1, Monday, 01/19/2015,7:16 AM,-,7:30 AM,0,12,
1, Monday, 01/19/2015,7:31 AM,-,7:45 AM,0,3,
1, Monday, 01/19/2015,7:46 AM,-,8:00 AM,0,8,
1, Monday, 01/19/2015,8:01 AM,-,8:15 AM,0,6,
1, Monday, 01/19/2015,8:16 AM,-,8:30 AM,0,15,
1, Monday, 01/19/2015,8:31 AM,-,8:45 AM,0,13,
1, Monday, 01/19/2015,8:46 AM,-,9:00 AM,0,20,
1, Monday, 01/19/2015,9:01 AM,-,9:15 AM,1,36,
1, Monday, 01/19/2015,9:16 AM,-,9:30 AM,0,23,
1, Monday, 01/19/2015,9:31 AM,-,9:45 AM,0,34,
1, Monday, 01/19/2015,9:46 AM,-,10:00 AM,1,41,
